HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Length,intermittent_count,perennial_count,water_count,perennial_ratio,connected_perennial,segment_status,segment_label
40169695,40170029,40017702,2.51,1989.2,1333.9,9.17,369051.5,0,1266.57,8,2,3,4120252610.0,0.030892556509906594,78,12,90,0.13333333333333333,True,2.0,Perennial_connected
40169694,40169695,40017702,0.57,1991.7,1331.4,0.75,369006.7,0,1266.939,8,2,3,4120252610.0,0.005892556509872488,66,10,76,0.13157894736842105,True,2.0,Perennial_connected
40170422,40170423,40017702,6.79,2081.3,1241.9,32.63,323415.1,0,1147.11,8,2,3,4120251820.0,0.07041456223587991,85,35,120,0.2916666666666667,True,2.0,Perennial_connected
40170423,40170547,40017702,7.64,2073.6,1249.5,45.74,365046.9,0,1260.436,8,2,3,4120256990.0,0.08219967525571847,91,34,125,0.272,True,2.0,Perennial_connected
40169854,40169150,40017702,3.15,1966.9,1356.2,16.1,389451.2,0,1356.631,8,2,3,4120249110.0,0.03362944921608561,55,21,76,0.27631578947368424,True,2.0,Perennial_connected
40169700,40169701,40017702,5.27,1978.0,1345.2,18.65,388867.8,0,1356.684,8,2,3,4120252770.0,0.06351100286305639,104,17,121,0.14049586776859505,True,2.0,Perennial_connected
40169701,40169853,40017702,3.65,1974.3,1348.8,20.45,388929.2,0,1356.181,8,2,3,4120252770.0,0.04267766952970181,96,16,112,0.14285714285714285,True,2.0,Perennial_connected
40169254,40170546,40017702,2.95,2159.8,1163.3,10.67,210220.2,0,660.628,7,2,4,4120254430.0,0.03017766952973227,78,10,88,0.11363636363636363,True,2.0,Perennial_connected
40169150,40168605,40017702,2.26,1964.9,1358.3,3.16,389477.5,0,1356.407,8,2,3,4120249110.0,0.023570226039590438,54,21,75,0.28,True,2.0,Perennial_connected
40168869,40169254,40017702,5.03,2162.9,1160.2,23.91,210197.2,0,661.3,7,2,4,4121232930.0,0.06178511301974284,91,17,108,0.1574074074074074,True,2.0,Perennial_connected
40168605,40168362,40017702,1.03,1963.7,1359.4,1.95,389500.0,0,1356.326,8,2,3,4120249110.0,0.010059223176531202,45,17,62,0.27419354838709675,True,2.0,Perennial_connected
40168868,40168869,40017702,5.96,2167.7,1155.4,16.84,210162.9,0,662.906,7,2,4,4121232930.0,0.06380711874578113,86,20,106,0.18867924528301888,True,2.0,Perennial_connected
40168362,40167642,40017702,3.15,1960.7,1362.4,9.92,389555.5,0,1356.04,8,2,3,4120249110.0,0.033629449216152504,81,17,98,0.17346938775510204,True,2.0,Perennial_connected
40167641,40168868,40017702,2.16,2173.7,1149.4,2.55,210127.4,0,664.274,7,2,4,4121232930.0,0.02184433619637078,87,5,92,0.05434782608695652,True,2.0,Perennial_connected
40167642,40166485,40017702,4.68,1956.0,1367.2,12.32,389599.5,0,1355.486,8,2,3,4120249110.0,0.046129449216339664,106,12,118,0.1016949152542373,True,2.0,Perennial_connected
40167250,40167641,40017702,8.08,2175.8,1147.3,28.24,210058.7,0,664.624,7,2,4,4121232930.0,0.08708122890264511,131,7,138,0.050724637681159424,True,2.0,Perennial_connected
