catchment_id,downstream_id,basin_id,longitude,latitude,upstream_area_km2,hyriv_id,distance_m,nearest_distance_m,second_distance_m,downstream_support,upstream_support,match_status
5459848,5461648,53394,123.43541717529295,45.126251220703125,14871.855104,,,,,0,0,no_candidate
5459850,5461650,53394,123.39958190917967,44.944583892822266,12786.108416,,,,,0,0,no_candidate
5459851,5459850,53394,123.36624908447266,44.89958190917969,11441.941504,,,,,0,0,no_candidate
5459852,5461652,53394,123.38458251953124,44.7912483215332,10989.7984,,,,,0,0,no_candidate
5459861,5461662,53394,123.40625,43.77291870117188,46078.758912,40233611.0,15324.375928150683,15324.375928150683,15511.824784442664,1,0,ambiguous
5459863,5461664,53394,123.39958190917967,43.61708450317383,81665.794048,40234346.0,0.024529528574310913,0.024529528574310913,917.688869193135,1,1,candidate
5459878,5458078,53394,123.3004150390625,42.16958236694336,166219.44832,40284854.0,220.82264391537663,220.82264391537663,572.1322324805096,1,1,candidate
5461564,5463364,53394,123.4704132080078,53.50041580200195,395149.213696,40013570.0,237.74076353397598,237.74076353397598,4171.486260399075,1,1,candidate
5461565,5463365,53394,123.5504150390625,53.4154167175293,13748.737024,40013570.0,9181.819352335264,9181.819352335264,13029.439159821495,1,1,candidate
5461630,5463430,53394,123.49958038330078,46.9495849609375,19372.867584,40126182.0,277.7437654088887,277.7437654088887,2095.932191233036,1,1,candidate
5461631,5465231,53394,123.569580078125,46.84791564941406,144756.015104,40129150.0,63.311338984005154,63.311338984005154,2055.461909585614,1,1,candidate
5461632,5463432,53394,123.569580078125,46.77791595458984,16659.606528,40129487.0,4251.724494368167,4251.724494368167,5510.367410053413,1,1,candidate
5461642,5463442,53394,123.49958038330078,45.75041580200195,31163.691008,40163288.0,1667.0983295201047,1667.0983295201047,2975.453049972824,1,1,candidate
5461648,5463448,53394,123.49958038330078,45.11375045776367,15664.279552,,,,,0,0,no_candidate
5461649,5463449,53394,123.54541778564452,45.03874969482422,12991.198208,,,,,0,0,no_candidate
5461650,5461649,53394,123.45957946777344,44.99958419799805,12933.126144,,,,,0,0,no_candidate
5461652,5459851,53394,123.35375213623048,44.83041763305664,11257.800704,,,,,0,0,no_candidate
5461653,5459852,53394,123.4004135131836,44.688751220703125,10880.840704,,,,,0,0,no_candidate
5461662,5463462,53394,123.49958038330078,43.72041702270508,48204.713984,40234346.0,13783.413745001402,13783.413745001402,13783.413745001402,1,1,ambiguous
5461664,5463465,53394,123.50458526611328,43.59208297729492,81720.475648,40235532.0,1203.5890018802936,1203.5890018802936,1211.0747517469251,1,1,ambiguous
5461678,5459878,53394,123.4004135131836,42.1470832824707,165936.594944,40285619.0,92.5691067036022,92.5691067036022,1493.610645268232,1,1,candidate
5463364,5465164,53394,123.63541412353516,53.5412483215332,395222.679552,40013246.0,142.63796432893713,142.63796432893713,1112.26551574677,1,1,candidate
5463365,5463366,53394,123.5812530517578,53.38124847412109,13822.297088,40013570.0,13090.406998749717,13090.406998749717,14726.858277212636,1,1,ambiguous
5463366,5465166,53394,123.6304168701172,53.35708236694336,13895.90528,40013612.0,15858.365686118857,15858.365686118857,15858.365686118857,0,1,ambiguous
5463429,5463430,53394,123.53458404541016,46.98125076293945,125123.207168,40126183.0,313.9384097930525,313.9384097930525,599.2887301878509,1,1,candidate
5463430,5461631,53394,123.50375366210938,46.90041732788086,144684.384256,40128523.0,190.21394402280077,190.21394402280077,4592.204773901183,1,1,candidate
5463432,5465232,53394,123.59708404541016,46.799583435058594,17460.61312,40129487.0,1667.494857179959,1667.494857179959,3095.3988382813736,1,1,candidate
5463442,5465242,53394,123.5995864868164,45.74041748046875,31307.25376,40162870.0,1945.14677702404,1945.14677702404,2294.3904794473833,1,1,ambiguous
5463448,5465248,53394,123.61125183105467,45.132083892822266,15744.557056,,,,,0,0,no_candidate
